id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
NGC2327,106.033333,-11.316667,,1.00,,,,,,
IC2177,106.104167,-10.455000,,120.00,,,,,,
NGC2320,106.425064,50.580990,13.90,1.20,1.43,140,,PGC20136,,
NGC2321,106.495699,50.755667,14.80,0.75,1.32,110,,PGC20141,,
NGC2322,106.501266,50.510318,14.60,1.03,2.50,130,,PGC20142,,
NGC2335,106.690000,-10.023000,7.20,12.00,,,,,,
NGC2331,106.680000,27.255000,8.50,18.00,,,,,,
IC2176,106.882587,32.469872,15.10,0.56,1.25,5,,PGC20193,,
IC2178,106.906858,32.512516,15.70,0.45,2.00,130,,PGC20196,,
NGC2338,106.950000,-5.717000,,3.30,,,,,,
NGC2343,107.029000,-10.619000,6.70,7.00,,,,,,
NGC2345,107.075000,-13.199000,7.70,12.00,,,,,,
NGC2339,107.085560,18.780226,12.30,1.46,1.16,0,,PGC20222,,
NGC2333,107.088985,35.169983,14.10,0.74,1.47,40,,PGC20223,,
NGC2326,107.045846,50.681899,14.30,1.32,1.47,105,,PGC20218,,
IC466,107.154167,-4.313333,,1.00,,,,,,
IC2174,107.273470,75.353030,15.00,0.63,1.25,125,,PGC20252,,
NGC2329,107.283354,48.615479,13.99,0.85,1.04,70,,PGC20254,,
NGC2341,107.299554,20.602836,12.88,0.58,1.16,130,,PGC20259,,
NGC2342,107.325371,20.635894,12.15,1.07,1.35,55,,PGC20265,,
NGC2346,107.343840,-0.806559,11.58,0.90,,,,,,
IC457,107.368310,50.152507,13.05,0.42,1.62,40,,PGC20272,,
NGC2330,107.368310,50.152507,13.05,0.42,1.62,40,,PGC20272,,
NGC2332,107.392323,50.182281,14.00,1.01,1.51,65,,PGC20276,,
NGC2337,107.556823,44.457421,13.10,0.92,1.61,110,,PGC20298,,
NGC2314,107.635583,75.326720,13.10,0.99,1.25,5,,PGC20305,,
IC458,107.642399,50.118877,14.40,0.73,1.72,170,,PGC20306,,
IC460,107.684488,50.202415,15.40,0.48,1.51,175,,PGC20318,,
IC461,107.687737,50.081467,15.70,0.48,1.39,55,,PGC20319,,
IC463,107.753790,+50.117389,15.00,,0.28,1.40,95,,,
IC464,107.769777,50.136857,14.80,0.69,1.85,65,,PGC20332,,
NGC2340,107.795056,50.174693,13.90,1.55,1.79,80,,PGC20338,,
IC2180,107.831498,26.371453,15.00,0.71,1.16,10,,PGC20344,,
IC465,107.890202,50.248299,14.60,0.70,1.16,80,,PGC20357,,
NGC2344,108.119470,47.166751,12.14,1.13,1.11,125,,PGC20395,,
IC2181,108.292971,18.996027,14.80,0.58,1.85,145,,PGC20417,,
NGC2350,108.300641,12.266050,14.10,1.09,2.27,110,,PGC20416,,
NGC2354,108.503000,-25.724000,6.50,20.00,,,,,,
NGC2268,108.572671,84.382272,12.10,1.58,1.67,70,,PGC20458,,
NGC2353,108.641000,-10.257000,7.10,20.00,,,,,,
IC2179,108.884567,64.926253,13.40,0.85,1.16,85,,PGC20516,,
NGC2347,109.017029,64.711539,13.20,0.90,1.61,10,,PGC20539,,
NGC2355,109.247000,13.772000,9.70,9.00,,,,,,
IC468,109.500000,-13.100000,,20.00,,,,,,
NGC2357,109.420754,23.356744,14.60,1.74,5.01,120,,PGC20592,,
NGC2360,109.443000,-15.631000,7.20,13.00,,,,,,
NGC2359,109.625000,-13.226667,,8.00,,,,,,
NGC2362,109.671000,-24.954000,4.10,8.00,,,,,,
NGC2381,109.988683,-63.067015,13.44,0.61,1.22,100,,PGC20694,,
NGC2367,110.031000,-21.867000,7.90,4.00,,,,,,
NGC2369,109.157304,-62.343753,13.23,1.47,2.08,0,,PGC20556,,
NGC2364,110.191670,-7.550000,,,,,,,,
NGC2368,110.241667,-10.378333,11.80,5.00,,,,,,
NGC2397,110.332886,-69.001398,12.85,1.64,1.85,120,,PGC20766,,
NGC2365,110.593939,22.083290,13.80,1.47,1.85,10,,PGC20838,,
IC2185,110.816905,32.495272,14.90,0.56,1.85,115,,PGC20889,,
NGC2380,110.978121,-27.529061,12.52,2.29,1.10,,,PGC20916,,
NGC2374,111.016000,-13.235000,8.00,19.00,,,,,,
NGC2383,111.174000,-20.949000,8.40,6.00,,,,,,
NGC2377,111.236733,-9.659353,14.77,1.17,1.32,0,,PGC20948,,
NGC2370,111.256873,23.783167,14.30,0.92,1.85,50,,PGC20955,,
NGC2384,111.291667,-21.021667,7.40,3.00,,,,,,
NGC2371,111.394535,29.490675,13.50,0.90,,,,,,
NGC2372,111.394535,29.490675,13.50,0.73,,,,,,
NGC2376,111.649633,23.072942,14.70,0.47,1.16,40,,PGC21015,,
NGC2373,111.653954,33.823843,14.50,0.43,1.28,10,,PGC21016,,
NGC2336,111.766875,80.178069,12.51,5.89,1.82,178,,PGC21033,,
NGC2375,111.789642,33.831792,14.70,0.61,1.61,70,,PGC21035,,
NGC2276,111.810354,85.754500,12.30,1.24,1.16,95,,PGC21039,,
NGC2395,111.774000,13.584000,8.00,12.00,,,,,,
NGC2379,111.859398,33.811346,14.90,0.49,1.14,110,,PGC21036,,
IC2202,111.978281,-67.574198,13.63,1.40,2.50,165,,PGC21057,,
NGC2396,111.984000,-11.725000,7.40,10.00,,,,,,
IC2200,112.072816,-62.352922,13.82,0.93,1.61,55,,PGC21075,,
NGC2385,112.116775,33.837764,15.20,0.70,1.61,55,,PGC21080,,
NGC2363,112.123300,69.192870,15.50,1.86,1.48,20,,PGC93088,,
NGC2366,112.218554,69.210794,11.39,8.10,2.45,25,,PGC21102,,
NGC2388,112.222723,33.819043,14.70,0.76,1.56,65,,PGC21099,,
NGC2387,112.241315,36.879930,16.50,0.38,1.78,125,,PGC21105,,
NGC2389,112.269347,33.860952,13.50,0.67,1.28,75,,PGC21109,,
NGC2392,112.294863,20.911799,9.68,0.70,1.00,72,Eskimo Nebula,,,
NGC2401,112.352000,-13.968000,12.60,2.00,,,,,,
IC2184,112.362563,72.130967,14.00,0.13,1.70,,,PGC21123,,
NGC2393,112.519380,34.027717,14.90,0.73,1.85,100,,PGC21154,,
NGC2417,112.550341,-62.252579,13.09,1.32,1.25,70,,PGC21155,,
NGC2398,112.567390,24.487914,15.30,1.01,1.92,135,,PGC21165,,
IC2191,112.572561,24.327745,15.30,0.56,1.35,20,,PGC21163,,
IC467,112.576667,79.872497,12.70,1.43,2.78,70,,PGC21164,,
NGC2402,112.694041,9.646873,15.40,1.07,1.92,40,,PGC21176,,
NGC2406,112.949050,18.287971,15.00,0.56,1.09,45,,PGC21218,,
NGC2407,112.986164,18.333036,14.90,0.72,1.25,60,,PGC21220,,
NGC2405,113.058409,25.906357,14.70,0.69,1.92,110,,PGC21224,,
NGC2300,113.085358,85.708861,12.20,3.16,1.32,74,,PGC21231,,
NGC2414,113.293000,-15.449000,7.90,4.00,,,,,,
IC2194,113.417458,31.334418,15.10,0.77,2.50,50,,PGC21285,,
IC2196,113.540688,31.405773,14.00,1.07,1.19,135,,PGC21300,,
IC2198,113.546306,23.966342,15.30,0.48,1.09,30,,PGC21298,,
IC2197,113.605500,+31.422194,14.00,0.50,,,,,,
NGC2411,113.651368,18.281539,14.60,0.88,1.85,50,,PGC21315,,
NGC2434,113.713127,-69.284166,11.26,1.45,1.09,130,,PGC21325,,
IC455,113.739553,85.537215,14.30,0.74,1.51,70,,PGC21334,,
NGC2410,113.759397,32.822123,16.26,1.29,2.95,35,,PGC21336,,
NGC2416,113.923021,11.612031,14.30,0.53,1.16,50,,PGC21358,,
NGC2421,114.051000,-20.627000,8.30,10.00,,,,,,
IC2201,114.070026,33.122698,14.90,0.92,3.85,65,,PGC21372,,
NGC2442,114.099042,-69.530833,10.42,5.13,1.38,23,,PGC21373,,
NGC2427,114.117400,-47.635550,11.58,5.75,2.40,122,,PGC21375,,
NGC2422,114.147000,-14.489000,4.40,30.00,,,,,,M47
NGC2418,114.156247,17.883853,13.70,0.97,1.14,75,,PGC21382,,
NGC2403,114.213909,65.602681,8.38,21.38,1.99,126,,PGC21396,,
NGC2415,114.236116,35.241821,12.50,0.66,1.09,120,,PGC21399,,
NGC2423,114.299000,-13.863000,6.70,19.00,,,,,,
NGC2404,114.278670,+65.610667,,,,,,,,
NGC2419,114.535458,38.881917,10.05,4.10,,,,,,
NGC2425,114.577000,-14.885000,,3.00,,,,,,
NGC2420,114.602000,21.575000,8.30,10.00,,,,,,
NGC2408,115.037500,71.655000,,,,,,,,
IC2203,115.140054,34.230031,14.50,0.54,1.61,140,,PGC21555,,
NGC2424,115.163725,39.233300,13.90,1.94,4.55,80,,PGC21558,,
NGC2439,115.194000,-31.694000,6.90,10.00,,,,,,
NGC2432,115.223000,-19.078000,10.20,8.00,,,,,,
IC2204,115.325439,34.232177,16.26,0.63,1.22,155,,PGC21581,,
NGC2437,115.445000,-14.844000,6.10,27.00,,,,,,M46
NGC2438,115.460498,-14.735408,10.00,1.10,,,,,,
NGC2440,115.480800,-18.208900,10.10,0.50,1.07,68,,,,
NGC2433,115.681750,9.259222,,0.47,1.20,32,,,,
NGC2426,115.826984,52.318568,14.40,0.91,1.11,30,,PGC21648,,
IC471,115.901906,49.667547,14.20,0.73,1.14,50,,PGC21659,,
IC472,115.959786,49.614198,14.50,1.00,1.39,165,,PGC21665,,
NGC2429,115.948240,52.357485,14.70,1.02,2.78,145,,PGC21664,,
NGC2435,116.056601,31.651137,13.50,1.68,3.84,35,,PGC21676,,
NGC2447,116.141000,-23.853000,6.20,22.00,,,,,,M93
NGC2431,116.306029,53.075222,14.30,0.69,1.32,0,,PGC21711,,
NGC2451,116.350000,-37.966667,2.80,45.00,,,,,,
NGC2466,116.316627,-71.410450,13.42,0.70,1.14,175,,PGC21714,,
NGC2444,116.721065,39.031972,13.10,0.41,1.35,40,,PGC21774,,
IC2205,116.727398,26.872358,15.20,0.69,2.03,49,,PGC21773,,
NGC2445,116.729589,39.015126,13.10,0.61,1.25,145,,PGC21776,,
IC475,116.788517,30.488809,14.90,0.47,1.43,140,,PGC21795,,
IC476,116.817871,26.951053,15.50,0.43,1.92,95,,PGC21796,,
NGC2449,116.834576,26.930159,14.30,1.15,2.63,135,,PGC21802,,
NGC2452,116.859437,-27.335228,12.20,0.30,1.00,46,,,,
NGC2450,116.884419,27.019089,15.30,0.72,3.33,155,,PGC21807,,
NGC2453,116.894000,-27.194000,8.30,5.00,,,,,,
NGC2446,117.163401,54.611848,13.90,1.37,2.27,125,,PGC21860,,
NGC2455,117.284000,-21.298000,10.20,8.00,,,,,,
IC2207,117.462072,33.962261,15.40,1.38,5.55,125,,PGC21918,,
NGC2454,117.645924,16.368569,14.70,0.88,2.17,110,,PGC21963,,
NGC2441,117.977860,73.015709,12.70,1.22,1.43,5,,PGC22031,,
IC477,118.021797,23.480980,15.50,0.38,1.12,77,,PGC2807169,,
NGC2477,118.046000,-38.537000,5.80,27.00,,,,,,
NGC2467,118.077000,-26.428000,7.00,16.00,,,,,,
IC478,118.423215,26.492689,15.20,0.65,1.38,7,,PGC22109,,
NGC2456,118.544475,55.495285,14.30,0.89,1.32,35,,PGC22129,,
NGC2470,118.586449,4.459726,14.20,1.56,3.84,125,,PGC22137,,
IC479,118.592588,27.008805,15.00,0.47,1.22,170,,PGC22138,,
NGC2457,118.727007,55.546400,15.60,0.46,2.09,70,,PGC22171,,
NGC2479,118.762000,-17.732000,9.60,7.00,,,,,,
NGC2482,118.787000,-24.263000,7.30,12.00,,,,,,
NGC2458,118.964119,56.710629,16.00,0.46,1.39,165,,PGC22220,,
NGC2483,118.900000,-27.900000,7.60,10.00,,,,,,
NGC2461,118.964119,56.710629,16.00,0.46,1.39,165,,PGC22220,,
NGC2502,118.964785,-52.306835,13.09,1.90,1.92,120,,PGC22210,,
IC469,118.995844,85.158892,13.60,2.02,2.94,85,,PGC22213,,
IC2209,119.058965,60.304114,14.50,0.49,1.28,125,,PGC22232,,
NGC2489,119.064000,-30.060000,7.90,8.00,,,,,,
NGC2462,119.133649,56.687164,15.50,0.59,1.79,160,,PGC22259,,
NGC2476,119.188283,39.927876,13.40,0.91,1.39,155,,PGC22260,,
NGC2485,119.202760,7.477932,13.30,0.80,1.25,165,,PGC22266,,
IC2220,119.213750,-59.125278,,5.00,,,Butterfly Nebula,,,
NGC2460,119.218045,60.349378,12.50,1.31,1.35,35,,PGC22270,,
IC2210,119.235420,+56.682222,15.00,,,,,,,
NGC2480,119.293517,23.779633,15.20,0.61,3.13,165,,PGC22289,,
NGC2463,119.301975,56.676606,14.80,0.56,1.14,55,,PGC22291,,
NGC2481,119.307318,23.767767,13.40,1.21,2.94,20,,PGC22292,,
NGC2464,119.386245,+56.690556,15.00,0.40,,,,,,
IC2211,119.440280,32.558095,14.50,0.69,1.72,135,,PGC22314,,
NGC2486,119.485366,25.160876,13.26,0.98,1.73,90,,PGC22317,,
NGC2474,119.495630,52.857270,13.90,0.63,1.05,,,PGC22321,,
NGC2475,119.501864,52.861708,15.00,0.93,1.51,35,,PGC22322,,
NGC2468,119.510140,56.359574,14.90,0.97,2.17,45,,PGC22325,,
NGC2469,119.514350,56.680453,13.20,0.71,1.47,175,,PGC22327,,
NGC2516,119.527000,-60.800000,3.80,30.00,,,,,,
NGC2487,119.585267,25.149234,12.23,0.73,2.27,50,,PGC22343,,
NGC2491,119.614077,7.983816,15.60,0.31,1.67,90,,PGC22353,,
NGC2484,119.617117,37.786613,14.90,0.95,1.47,150,,PGC22350,,
NGC2501,119.625180,-14.354261,12.90,0.91,1.35,105,,PGC22354,,
NGC2496,119.655641,8.029803,14.80,0.79,1.19,170,,PGC22359,,
NGC2472,119.674713,56.701256,15.40,0.27,1.28,170,,PGC22364,,
NGC2499,119.715477,7.493314,15.10,0.50,1.52,165,,PGC22366,,
IC2212,119.738326,32.612265,15.30,0.44,1.02,65,,PGC22371,,
IC481,119.761997,24.160611,15.10,0.91,3.85,5,,PGC22374,,
IC2213,119.777280,27.464009,15.40,0.59,1.22,85,,PGC22372,,
NGC2494,119.779662,-0.637874,14.20,0.62,1.43,75,,PGC22377,,
NGC2490,119.824425,27.077899,15.30,0.60,1.30,3,,PGC22382,,
NGC2492,119.873808,27.026441,14.40,0.90,1.19,100,,PGC22397,,
IC2215,119.887920,+24.928889,,,,,,,,
NGC2498,119.911800,24.982400,14.40,0.83,1.35,115,,PGC22403,,
IC482,119.947006,25.356981,15.00,0.50,1.39,140,,PGC22409,,
NGC2504,119.967729,5.608532,14.10,0.48,1.51,90,,PGC22414,,
IC2214,119.974206,33.290545,14.40,0.61,1.11,95,,PGC22417,,
NGC2506,120.010000,-10.773000,7.60,7.00,,,,,,
IC484,120.004461,26.665840,15.30,0.54,1.92,45,,PGC22419,,
IC485,120.082359,26.701440,15.50,0.63,2.27,150,,PGC22443,,
IC486,120.087435,26.613516,16.36,0.54,1.02,65,,PGC22445,,
NGC2493,120.098443,39.830407,13.10,1.25,1.19,55,,PGC22447,,
NGC2495,120.138258,39.839957,15.50,0.56,1.70,6,,PGC22457,,
NGC2503,120.152821,22.400060,15.00,0.68,1.09,25,,PGC22453,,
NGC2509,120.201000,-19.056000,9.30,8.00,,,,,,
IC2217,120.207174,27.500443,14.20,0.54,1.31,85,,PGC22476,,
NGC2507,120.405039,15.709734,14.00,1.25,1.35,45,,PGC22510,,
IC2218,120.410376,24.432435,15.70,0.58,2.27,20,,PGC22509,,
NGC2488,120.441600,56.553900,14.20,0.56,1.47,95,,PGC22520,,
NGC2500,120.471549,50.737112,11.62,1.02,1.52,5,,PGC22525,,
NGC2508,120.488412,8.551874,14.20,0.97,1.32,110,,PGC22528,,
NGC2510,120.544495,9.485966,14.70,0.73,1.61,110,,PGC22541,,
NGC2497,120.546285,56.942265,14.50,0.82,1.11,60,,PGC22547,,
NGC2511,120.562534,9.394415,15.00,0.70,2.18,110,,PGC22549,,
NGC2513,120.602737,9.413592,13.70,1.25,1.25,170,,PGC22555,,
IC2219,120.652185,27.437483,14.50,0.75,1.73,0,,PGC22565,,
NGC2517,120.696118,-12.317869,14.00,0.89,1.14,60,,PGC22578,,
NGC2514,120.706794,15.808254,14.40,0.67,1.19,145,,PGC22581,,
NGC2512,120.782706,23.391796,14.20,0.89,1.32,115,,PGC22596,,
IC490,120.833845,25.811399,15.60,0.35,1.19,95,,PGC22607,,
IC491,120.979194,26.520586,15.30,0.46,1.92,115,,PGC22631,,
NGC2505,121.028510,53.549212,14.00,1.05,2.17,0,,PGC22644,,
NGC2527,121.246000,-28.122000,6.50,22.00,,,,,,
NGC2525,121.408499,-11.427046,11.80,1.90,1.52,70,,PGC22721,,
IC492,121.411112,26.168180,17.19,0.75,1.19,150,,PGC22724,,
IC2226,121.546716,12.543491,14.90,0.56,1.22,130,,PGC22747,,
NGC2522,121.556015,17.706564,14.40,1.11,2.78,30,,PGC22749,,
IC494,121.600471,1.035987,14.30,0.90,2.08,50,,PGC22755,,
NGC2526,121.744259,8.003924,14.60,0.61,1.67,125,,PGC22778,,
NGC2533,121.773000,-29.872000,7.60,4.00,,,,,,
IC2228,121.774842,8.048031,15.30,0.30,1.67,45,,PGC22786,,
NGC2518,121.834376,51.131604,14.20,0.74,1.25,30,,PGC22800,,
NGC2528,121.853474,39.194491,13.50,0.65,1.25,110,,PGC22805,,
NGC2529,121.981688,17.818476,14.70,0.52,1.22,65,,PGC22827,,
NGC2524,122.039968,39.157430,13.70,0.85,1.43,120,,PGC22838,,
IC495,122.080956,9.013892,15.40,0.47,1.19,75,,PGC22841,,
NGC2521,122.205651,57.769623,14.20,0.84,1.22,30,,PGC22866,,
IC498,122.376124,5.280709,14.60,0.54,1.25,125,,PGC22895,,
IC496,122.434024,25.881590,14.70,0.46,1.85,30,,PGC93095,,
IC497,122.525240,24.922092,14.26,0.67,1.85,175,,PGC22918,,
NGC2547,122.468165,-49.176393,4.70,20.00,,,,,,
NGC2532,122.563277,33.956602,12.90,1.08,1.56,85,,PGC22922,,
NGC2539,122.658000,-12.834000,6.50,22.00,,,,,,
IC2230,122.735648,25.684703,15.60,0.42,1.19,165,,PGC22944,,
IC2231,122.756684,5.087365,15.00,0.94,1.19,110,,PGC22950,,
NGC2535,122.806183,25.206936,12.60,1.13,1.56,60,,PGC22957,,
NGC2536,122.816350,25.179319,13.93,0.56,1.93,60,,PGC22958,,
NGC2538,122.846208,3.632994,13.49,0.93,1.67,45,,PGC22962,,
NGC2546,123.082000,-37.661000,6.30,41.00,,,,,,
IC500,123.164880,-16.050697,15.00,0.90,2.38,55,,PGC23011,,
NGC2540,123.193533,26.361774,14.50,0.83,1.51,130,,PGC23017,,
NGC2534,123.225665,55.672064,13.59,0.68,1.02,70,,PGC23024,,
NGC2543,123.241479,36.254508,12.70,1.21,1.56,45,,PGC23028,,
NGC2537,123.311013,45.989792,11.69,0.54,1.10,,Bear Paw Galaxy,PGC23040,,
NGC2548,123.412000,-5.726000,5.80,54.00,,,,,,M48
IC2233,123.495454,45.742150,12.63,3.89,7.63,172,,PGC23071,,
IC2239,123.528258,23.866356,15.30,0.55,1.14,150,,PGC23078,,
NGC2545,123.558981,21.355454,13.20,1.33,2.18,175,,PGC23086,,
NGC2541,123.667150,49.061673,11.80,4.17,2.00,167,,PGC23110,,
IC2248,124.020035,23.134027,15.10,0.57,1.47,55,,PGC23176,,
IC2253,124.141147,21.409889,15.00,0.71,1.56,165,,PGC23204,,
IC2254,124.189563,24.780201,15.40,0.52,1.72,120,,PGC23206,,
IC2256,124.226725,24.177028,15.20,0.60,2.27,10,,PGC23214,,
NGC2559,124.275308,-27.455819,11.71,3.80,2.09,4,,PGC23222,,
NGC2553,124.395829,20.903076,15.00,0.81,1.67,55,,PGC23240,,
NGC2523,123.750579,73.578973,12.40,1.32,1.22,55,,PGC23128,,
NGC2554,124.472931,23.472167,13.50,1.37,1.35,140,,PGC23256,,
NGC2555,124.485088,0.745644,13.50,1.18,1.19,100,,PGC23259,,
IC2267,124.506694,24.735318,15.10,1.04,6.76,152,,PGC23266,,
IC2268,124.527350,24.796364,15.30,0.24,1.04,60,,PGC23273,,
IC2269,124.536710,23.047681,15.60,0.65,3.57,30,,PGC23278,,
NGC2568,124.575000,-37.105000,,,,,,,,
IC2271,124.582126,24.526916,15.30,0.24,1.39,135,,PGC23283,,
NGC2564,124.625077,-21.816106,,0.69,1.35,60,,PGC23290,,
NGC2567,124.645000,-30.631000,7.40,10.00,,,,,,
NGC2566,124.690033,-25.499519,11.81,3.72,1.59,72,,PGC23303,,
IC2311,124.691569,-25.369755,12.49,1.08,1.04,80,,PGC23304,,
IC501,124.698282,24.537425,15.50,0.42,1.56,130,,PGC23305,,
NGC2571,124.723000,-29.775000,7.00,13.00,,,,,,
NGC2549,124.743128,57.803062,12.10,2.14,2.63,0,,PGC23313,,
NGC2556,124.753547,20.936961,15.50,0.42,1.52,135,,PGC23325,,
NGC2557,124.794754,21.435794,14.60,0.92,1.25,50,,PGC23329,,
NGC2558,124.803165,20.510734,14.60,1.07,1.52,155,,PGC23337,,
NGC2552,124.835565,50.009608,12.56,3.50,1.52,45,,PGC23340,PGC3132065,
IC2288,124.843218,23.747255,15.50,0.33,1.92,70,,PGC23342,,
IC2293,124.883799,21.394314,15.20,0.60,1.19,115,,PGC23352,,
NGC2561,124.904028,4.657262,14.00,0.85,2.00,145,,PGC23351,,
NGC2565,124.951254,22.031425,13.80,1.39,2.38,165,,PGC23362,,
NGC2560,124.966219,20.984984,14.90,1.33,3.58,95,,PGC23367,,
NGC2562,125.098562,21.131463,14.00,0.84,1.52,175,,PGC23395,,
NGC2563,125.148696,21.067809,12.39,1.23,1.39,85,,PGC23404,,
IC2309,125.181829,18.397892,15.60,0.51,3.33,5,,PGC23416,,
IC2308,125.188538,19.362336,15.60,0.39,1.85,95,,PGC23415,,
NGC2574,125.200638,-8.918471,13.20,1.06,1.85,155,,PGC23418,,
NGC2579,125.230417,-36.223056,7.50,10.00,1.07,90,,,,
NGC2569,125.338062,20.867497,15.30,0.56,1.43,125,,PGC23442,,
NGC2570,125.343940,20.910534,15.40,0.40,1.47,80,,PGC23443,,
NGC2578,125.351172,-13.317835,13.04,1.12,1.72,85,,PGC23440,,
NGC2572,125.352614,19.147752,14.80,0.70,1.92,135,,PGC23441,,
IC2327,125.366518,3.169239,13.90,0.65,2.38,170,,PGC23447,,
NGC2580,125.371000,-30.306000,9.70,8.00,,,,,,
NGC2544,125.418039,73.988338,13.09,1.05,1.61,65,,PGC23453,,
IC502,125.515038,8.752604,15.40,0.43,1.14,115,,PGC23469,,
IC503,125.544550,3.268059,14.00,0.13,1.17,,,PGC23474,,
IC2329,125.581174,19.415976,15.00,2.00,5.41,115,,PGC23483,,
IC504,125.671675,4.262440,14.30,0.82,1.25,130,,PGC23495,,
NGC2577,125.681040,22.553095,13.80,1.33,2.00,105,,PGC23498,,
NGC2575,125.687312,24.296944,14.30,0.81,1.22,115,,PGC23501,,
NGC2576,125.740468,25.738678,15.40,0.89,3.57,35,,PGC23512,,
NGC2583,125.783040,-5.002439,14.50,0.51,1.11,70,,PGC23516,,
NGC2588,125.797000,-32.972000,11.80,2.00,,,,,,
NGC2584,125.814449,-4.970471,14.70,0.40,1.25,175,,PGC23523,,
IC505,125.840272,4.372479,14.80,0.77,1.35,140,,PGC23528,,
NGC2587,125.861000,-29.503000,9.20,9.00,,,,,,
NGC2585,125.859479,-4.915030,14.50,0.52,1.11,125,,PGC23537,,
IC2340,125.875194,18.749421,14.60,0.73,1.39,160,,PGC23544,,
IC506,125.878033,4.299502,14.70,0.48,1.06,5,,PGC23536,,
IC2338,125.886171,21.338027,14.70,0.38,1.47,30,,PGC23542,,
IC2339,125.892572,21.347649,14.70,0.62,2.08,55,,PGC23546,,
IC2341,125.922736,21.434877,14.90,0.86,2.00,0,,PGC23552,,
IC2367,126.041875,-18.775612,12.40,1.45,1.28,55,,PGC23579,,
IC2348,126.084372,20.533250,15.60,0.42,1.67,100,,PGC23589,,
IC2351,126.128908,18.597108,13.96,1.05,1.67,,,PGC23599,,
NGC2581,126.128908,18.597108,13.96,1.05,1.67,5,,PGC23599,,
NGC2551,126.209458,73.412043,12.11,1.10,1.72,55,,PGC23608,,
NGC2590,126.258342,-0.591428,14.00,1.42,3.33,75,,PGC23616,,
IC2359,126.300297,20.334738,14.30,0.84,1.02,30,,PGC23630,,
NGC2582,126.300297,20.334738,14.30,0.84,1.02,30,,PGC23630,,
NGC2601,126.377535,-68.117646,13.42,1.09,1.28,105,,PGC23637,,
IC2361,126.435408,27.874493,14.90,0.80,2.94,75,,PGC23646,,
IC2363,126.439260,19.449271,15.00,0.67,1.72,170,,PGC23650,,
IC2366,126.575190,+27.839736,15.00,1.40,,,,,,
NGC2593,126.699312,17.374909,14.90,0.68,1.73,165,,PGC23692,,
IC2373,126.704132,20.364852,15.50,0.24,1.43,155,,PGC23695,,
NGC2592,126.783549,25.970312,13.60,0.94,1.16,60,,PGC23701,,
NGC2594,126.821507,25.878802,15.00,0.56,1.35,30,,PGC23704,,
NGC2596,126.860477,17.284095,14.20,1.13,2.78,65,,PGC23714,,
NGC2595,126.925110,21.479085,13.90,1.13,1.73,150,,PGC23725,,
IC508,127.093775,25.125003,14.80,0.54,1.22,85,,PGC23762,,
IC2378,127.131851,30.431320,15.30,0.72,1.22,10,,PGC23771,,
NGC2550,126.140167,74.012306,13.10,0.97,2.27,105,,PGC23604,,
IC2380,127.182878,30.404537,15.50,0.50,1.28,170,,PGC23777,,
IC2382,127.192157,22.053478,14.90,0.64,1.61,170,,PGC23787,,
NGC2609,127.383333,-61.110000,,3.60,,,,,,
IC2383,127.422312,30.687967,15.70,0.44,1.16,95,,PGC23829,,
NGC2597,127.510516,21.488671,15.10,0.89,2.63,0,,PGC23855,,
NGC2598,127.510516,21.488671,15.10,0.89,2.63,0,,PGC23855,,
IC509,128.014583,24.010891,14.60,0.57,1.06,95,,PGC23936,,
IC510,128.045568,-2.162500,15.20,0.41,1.39,125,,PGC23940,,
NGC2599,128.047173,22.560557,13.40,0.89,1.16,95,,PGC23941,,
IC513,128.271081,-12.355466,14.00,0.72,1.52,45,,PGC23983,,
NGC2613,128.345171,-22.973669,10.42,7.59,4.46,114,,PGC23997,,
NGC2610,128.347599,-16.149388,9.02,0.60,,,,,,
NGC2604,128.346071,29.538619,14.92,0.80,1.39,35,,PGC23998,,
NGC2612,128.458432,-13.174599,13.00,1.81,3.57,115,,PGC24028,,
NGC2607,128.486054,26.972671,14.90,0.36,1.19,10,,PGC24038,,
IC2384,128.597836,32.434772,15.30,0.45,1.11,50,,PGC24062,,
NGC2615,128.638906,-2.546837,13.50,1.18,1.67,45,,PGC24071,,
NGC2600,128.687709,52.715705,15.00,0.62,2.08,75,,PGC24082,,
NGC2602,128.767739,52.831526,15.40,0.41,1.67,25,,PGC24099,,
IC2385,128.793230,37.265948,15.10,0.50,1.32,40,,PGC24103,,
NGC2608,128.822208,28.473399,13.20,1.59,1.79,60,,PGC24111,,
IC514,128.842901,-2.047086,15.30,0.38,1.56,160,,PGC24119,,
NGC2611,128.871628,25.027433,15.30,0.60,2.38,55,,PGC24121,,
NGC2626,128.883333,-40.671667,,5.00,,,,,,
IC515,128.880328,-1.900893,15.60,0.61,1.67,35,,PGC24125,,
NGC2616,128.891957,-1.850115,15.20,0.81,1.25,145,,PGC24129,,
NGC2606,128.893550,52.788877,17.02,0.59,1.39,40,,PGC24117,,
NGC2603,128.893550,52.788877,17.02,0.59,1.39,40,,PGC24117,,
NGC2617,128.911659,-4.088306,13.60,0.69,1.06,125,,PGC24141,,
IC516,128.961619,-1.871273,15.70,0.39,1.92,65,,PGC24155,,
NGC2618,128.973096,0.707113,13.90,0.91,1.09,130,,PGC24156,,
IC518,129.029160,+0.692500,,,,,,,,
IC517,129.092118,-2.055490,15.40,0.41,1.86,35,,PGC24179,,
