id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
CG And,0.181810,45.253335,6.35,A0IIspSiSrHg,HD224801,HIP63,
tau Phe,0.269095,-48.809874,5.70,G6/8III,HD224834,HIP88,
tet Oct,0.398748,-77.065725,4.78,K3III,HD224889,HIP122,
29 Psc,0.456034,-3.027503,5.10,B7III-IV,HD224926,HIP145,
30 Psc,0.490081,-6.014071,4.41,M3III,HD224935,HIP154,
85 Peg,0.543120,27.081833,5.75,G5VbFe-2,HD224930,HIP171,
zet Scl,0.583029,-29.720441,5.02,B5IV,HD224990,HIP183,
31 Psc,0.600695,8.956825,6.33,A6V,HD224995,HIP186,
32 c Psc,0.623759,8.485464,5.69,F1V,HD225003,HIP194,
2 Cet,0.934949,-17.335991,4.54,B9IVn,HD225132,HIP301,
9 Cas,1.056927,62.287664,5.88,A1II-III,HD225180,HIP330,
3 Cet,1.125493,-10.509524,4.92,K3Ib,HD225212,HIP355,
33 Psc,1.333922,-5.707620,4.61,K0III-IV,HD28,HIP443,
86 Peg,1.424840,13.396268,5.54,G5III,HD87,HIP476,
10 Cas,1.610572,64.196158,5.59,B9IIIe,HD144,HIP531,
4 Cet,1.933797,-2.548680,6.43,ApSi,HD315,HIP635,
5 Cet,2.050398,-2.447706,6.22,K2IIICNIVp,HD352,HIP664,
21 alf And,2.096916,29.090431,2.06,B8IV-VHgMn,HD358,HIP677,Alpheratz
87 Peg,2.260103,18.211965,5.55,G9III,HD448,HIP729,
11 bet Cas,2.294522,59.149781,2.27,F2III,HD432,HIP746,Caph
kap01 Scl,2.337779,-27.987926,5.51,F3V,HD493,HIP761,
eps Phe,2.352667,-45.747424,3.87,K0III,HD496,HIP765,
gam03 Oct,2.509052,-82.224047,5.28,K1/2III,HD636,HIP814,
34 Psc,2.509179,11.145816,5.53,B9Vn,HD560,HIP813,
22 And,2.580194,46.072272,5.04,F5II,HD571,HIP841,
6 Cet,2.816075,-15.467978,4.89,F8VFe-0.8CH-0.5,HD693,HIP910,
kap02 Scl,2.893420,-27.799720,5.40,K2III,HD720,HIP930,
tet Scl,2.933421,-35.133115,5.24,F5V,HD739,HIP950,
88 gam Peg,3.308968,15.183598,2.84,B2IV,HD886,HIP1067,Algenib
23 And,3.378500,41.035371,5.71,F0IV,HD905,HIP1086,
89 chi Peg,3.650685,20.206703,4.80,M2+III,HD1013,HIP1168,
7 Cet,3.660069,-18.932865,4.46,M1III,HD1038,HIP1170,
35 Psc,3.745168,8.820961,6.01,F0,HD1061,HIP1196,
36 Psc,4.141841,8.240157,6.12,G8II-III,HD1227,HIP1319,
24 tet And,4.272927,38.681636,4.61,A2V,HD1280,HIP1366,
38 Psc,4.352179,8.876442,6.66,G0:III+F2V+F8V,HD1317,HIP1392,
AO Cas,4.429430,51.433088,6.14,O9.2II+O8V((f)),HD1337,HIP1415,
25 sig And,4.581906,36.785225,4.52,A2V,HD1404,HIP1473,
26 And,4.675704,43.791141,6.11,B8V,HD1438,HIP1501,
8 iot Cet,4.856977,-8.823919,3.55,K1+IIICN0.5,HD1522,HIP1562,Deneb Kaitos Shemali
40 Psc,4.984482,16.250872,6.60,K0,HD1563,HIP1595,
zet Tuc,5.017744,-64.874794,4.23,F9.5V,HD1581,HIP1599,
41 d Psc,5.149425,8.190272,5.37,K2.5III,HD1635,HIP1645,
pi. Tuc,5.162676,-69.624919,5.50,B9V,HD1685,HIP1647,
27 rho And,5.280286,37.968605,5.18,F5IV-V,HD1671,HIP1686,
iot Scl,5.379993,-28.981470,5.17,K0III,HD1737,HIP1708,
T Cet,5.442803,-20.058025,5.74,M5-6Se,HD1760,HIP1728,
42 Psc,5.606179,13.482488,6.24,K3III,HD1796,HIP1772,
9 Cet,5.715785,-12.209436,6.39,G2.5V,HD1835,HIP1803,
R And,6.008107,38.577047,7.39,S5-7/4-5e,HD1967,,
12 Cas,6.197939,61.831058,5.38,B9III,HD2011,HIP1960,
44 Psc,6.350868,1.939692,5.77,G8III,HD2114,HIP2006,
45 Psc,6.424632,7.691132,6.76,K0,HD2140,HIP2025,
bet Hyi,6.437793,-77.254246,2.79,G0V,HD2151,HIP2021,
kap Phe,6.550839,-43.679831,3.94,A5IVn,HD2262,HIP2072,
alf Phe,6.571048,-42.305987,2.38,K0.5IIIb,HD2261,HIP2081,Ankaa
10 Cet,6.655896,-0.049531,6.19,G6IIIFe-1,HD2273,HIP2100,
eta Scl,6.982074,-33.007166,4.81,M2/3III,HD2429,HIP2210,
46 Psc,6.993609,19.514038,6.38,gG7,HD2410,HIP2213,
47 TV Psc,7.012145,17.893127,5.06,M3III,HD2411,HIP2219,
48 Psc,7.052929,16.445068,6.04,K5III,HD2436,HIP2224,
12 Cet,7.509827,-3.957327,5.72,K5III,HD2637,HIP2353,
28 And,7.530688,29.751558,5.21,A7III,HD2628,HIP2355,
lam01 Phe,7.854088,-48.803514,4.77,A1Va,HD2834,HIP2472,
13 Cas,7.855121,66.519617,6.17,B6V,HD2729,HIP2474,
bet01 Tuc,7.886117,-62.958217,4.29,B9.5Va,HD2884,HIP2484,
bet02 Tuc,7.889260,-62.965593,4.51,A3IV,HD2885,HIP2487,
14 lam Cas,7.943164,54.522285,4.77,B8Vn,HD2772,HIP2505,
51 Psc,8.099079,6.955485,5.68,B9.5V,HD2913,HIP2548,
52 Psc,8.147853,20.294318,5.37,K0III,HD2910,HIP2568,
bet03 Tuc,8.182939,-63.031501,5.09,A0V,HD3003,HIP2578,
15 kap Cas,8.249963,62.931783,4.16,BC0.7Ia,HD2905,HIP2599,
tet Tuc,8.347330,-71.266245,6.11,A7IV,HD3112,HIP2629,
16 Cas,8.603830,66.750338,6.47,B8V,HD3038,HIP2707,
13 Cet,8.811999,-3.592844,5.21,F7V+G4V,HD3196,HIP2762,
14 Cet,8.886806,-0.505611,5.94,F5V,HD3229,HIP2787,
lam02 Phe,8.921564,-48.000907,5.51,F5V+,HD3302,HIP2802,
53 Psc,9.197129,15.231720,5.86,B2.5IV,HD3379,HIP2903,
29 pi. And,9.220205,33.719344,4.36,B5V,HD3369,HIP2912,
17 zet Cas,9.242851,53.896908,3.66,B2IV,HD3360,HIP2920,
15 Cet,9.518927,-0.503528,6.64,K1III,HD3512,HIP2994,
30 eps And,9.638948,29.311753,4.38,G7IIIFe-3CH1,HD3546,HIP3031,
31 del And,9.831680,30.860984,3.28,K3III-IIIbCN0.5,HD3627,HIP3092,
54 Psc,9.840856,21.250476,5.88,K0.5V,HD3651,HIP3093,
55 Psc,9.981548,21.438497,5.43,K2IIIa,HD3690,HIP3138,
18 alf Cas,10.126838,56.537331,2.23,K0-IIIa,HD3712,HIP3179,Schedar
32 And,10.279936,39.458664,5.33,G8III,HD3817,HIP3231,
mu. Phe,10.331547,-46.084981,4.59,G8III,HD3919,HIP3245,
ksi Phe,10.443322,-56.501316,5.70,A3VpSrCr_Ksn,HD3980,HIP3277,
19 ksi Cas,10.516218,50.512533,4.81,B2V,HD3901,HIP3300,
rho Tuc,10.618216,-65.468030,5.38,F6V,HD4089,HIP3330,
lam01 Scl,10.678716,-38.463484,6.05,B9.5V,HD4065,HIP3356,
eta Phe,10.838376,-57.463063,4.36,A0IV,HD4150,HIP3405,
20 pi. Cas,10.866957,47.024546,4.95,A5V,HD4058,HIP3414,
16 bet Cet,10.897379,-17.986606,2.01,G9.5IIICH-1,HD4128,HIP3419,Diphda
17 phi01 Cet,11.047500,-10.609551,4.77,K0III,HD4188,HIP3455,
lam02 Scl,11.050413,-38.421682,5.96,K1III,HD4211,HIP3456,
68 Cas,11.109131,47.863984,5.65,B5V,HD4142,HIP3478,
22 omi Cas,11.181328,48.284365,4.50,B5IIIe,HD4180,HIP3504,
18 Cet,11.369531,-12.880809,6.15,G0V,HD4307,HIP3559,
21 YZ Cas,11.412819,74.988071,5.65,A2IV,HD4161,HIP3572,
57 Psc,11.637299,15.475509,5.38,M4III,HD4408,HIP3632,
58 Psc,11.756067,11.973852,5.50,G8II,HD4482,HIP3675,
59 Psc,11.806776,19.578706,6.10,F0Vn,HD4490,HIP3685,
34 zet And,11.834690,24.267179,4.06,K1III+KV,HD4502,HIP3693,
60 Psc,11.848474,6.740972,5.96,G8III,HD4526,HIP3697,
23 Cas,11.941891,74.847570,5.41,B8III,HD4382,HIP3721,
61 Psc,11.978448,20.925345,6.52,F8V,HD4568,HIP3730,
62 Psc,12.072541,7.299930,5.91,G8III,HD4627,HIP3760,
lam Hyi,12.147571,-74.923435,5.08,K4III,HD4815,HIP3781,
63 del Psc,12.170601,7.585082,4.44,K5-III,HD4656,HIP3786,
25 nu. Cas,12.208423,50.968165,4.89,B9III,HD4636,HIP3801,
64 Psc,12.244615,16.940646,5.07,F8V,HD4676,HIP3810,
24 eta Cas,12.276227,57.815177,3.44,F9V,HD4614,HIP3821,Achird
35 nu. And,12.453531,41.078910,4.53,B5V,HD4727,HIP3881,
65 i Psc,12.470308,27.710809,6.28,F4III,HD4757,HIP3885,
65 i Psc,12.471527,27.710288,6.29,F5III,HD4758,,
19 phi02 Cet,12.531621,-10.644329,5.19,F7V,HD4813,HIP3909,
rho Phe,12.671610,-50.986817,5.22,F3III,HD4919,HIP3949,
lam01 Tuc,13.102164,-69.503761,6.22,F7IV/V,HD5190,HIP4084,
20 Cet,13.252061,-1.144259,4.76,K5III,HD5112,HIP4147,
21 Cet,13.573303,-8.740664,6.16,G8III,HD5268,HIP4257,
66 Psc,13.646761,19.188422,5.79,A1Vn,HD5267,HIP4267,
36 And,13.742109,23.628328,5.45,K0IV(e),HD5286,HIP4288,
26 ups01 Cas,13.750649,58.972699,4.82,G8III,HD5234,HIP4292,
lam02 Tuc,13.751296,-69.527085,5.45,K2III,HD5457,HIP4293,
67 k Psc,13.993791,27.209382,6.10,A5IV,HD5382,HIP4366,
22 phi03 Cet,14.006207,-11.266526,5.33,K5III,HD5437,HIP4371,
28 ups02 Cas,14.166271,59.181057,4.62,G8.5IIIbFe-0.5,HD5395,HIP4422,
27 gam Cas,14.177213,60.716740,2.39,B0.5IVpe,HD5394,HIP4427,Navi
37 mu. And,14.188371,38.499334,3.87,A6V,HD5448,HIP4436,
38 eta And,14.301668,23.417650,4.42,G8-III,HD5516,HIP4463,
68 h Psc,14.458967,28.992214,5.44,G6III,HD5575,HIP4510,
alf Scl,14.651497,-29.357451,4.27,B7IIIp,HD5737,HIP4577,
23 phi04 Cet,14.682784,-11.379975,5.61,G8III,HD5722,HIP4587,
ksi Scl,15.326148,-38.916528,5.58,K1III,HD6055,HIP4770,
ome Phe,15.507585,-57.002387,6.10,G8/K0III,HD6192,HIP4829,
ups Cep,15.576850,81.875578,6.92,G2III:+B8/9,HD5679,HIP4843,
sig Scl,15.610129,-31.552014,5.50,A1/2IV,HD6178,HIP4852,
69 sig Psc,15.704570,31.804262,5.50,B9.5V,HD6118,HIP4889,
39 And,15.726061,41.345214,5.93,kA3hA7VmA9,HD6116,HIP4903,
71 eps Psc,15.735868,7.890133,4.28,G9IIIbFe-2,HD6186,HIP4906,
25 Cet,15.760571,-4.836599,5.41,K0/1III,HD6203,HIP4914,
26 Cet,15.954284,1.366847,6.07,A8IV,HD6288,HIP4979,
73 Psc,16.219325,5.656265,6.01,K5III,HD6386,HIP5074,
72 Psc,16.272316,14.946135,5.63,F4V((Sr)),HD6397,HIP5081,
27 Cet,16.403678,-9.979323,6.09,K0III,HD6482,HIP5121,
74 psi01 Psc,16.420601,21.473192,5.27,A0IV-Vnn,HD6456,HIP5131,
74 psi01 Psc,16.423796,21.465448,5.46,B9IVn,HD6457,HIP5132,
77 Psc,16.455114,4.908377,6.35,F5V,HD6479,HIP5141,
77 Psc,16.464305,4.909384,7.25,F5/7(V),HD6480,HIP5144,
bet Phe,16.520998,-46.718411,3.30,G8III,HD6595,HIP5165,
28 Cet,16.521453,-9.839355,5.57,A0V,HD6530,HIP5164,
76 Psc,16.546671,32.181489,6.26,K0,HD6476,HIP5175,
75 Psc,16.640111,12.956037,6.14,G8III,HD6557,HIP5204,
iot Tuc,16.827768,-61.775288,5.34,G5III,HD6793,HIP5268,
30 Cet,16.942536,-9.785551,5.71,F5V,HD6706,HIP5296,
ups Phe,16.949264,-41.486843,5.21,A1(V)+F1(V),HD6767,HIP5300,
79 psi02 Psc,16.988183,20.739070,5.56,A3V,HD6695,HIP5310,
29 Cet,16.998600,1.993050,6.46,G8IV/V,HD6734,HIP5315,
41 And,17.003553,43.942090,5.03,A3m,HD6658,HIP5317,
78 Psc,17.005598,32.012129,6.25,F5IV,HD6680,HIP5319,
30 mu. Cas,17.067929,54.920156,5.17,G5Vb,HD6582,HIP5336,Marfak
80 e Psc,17.092556,5.649851,5.50,F2V,HD6763,HIP5346,
zet Phe,17.096169,-55.245760,4.01,B6V+B9V,HD6882,HIP5348,
31 eta Cet,17.147464,-10.182264,3.45,K2-IIIb,HD6805,HIP5364,Deneb Algenubi
2 UMi,17.186994,86.257091,4.22,K2III,HD5848,HIP5372,
42 phi And,17.375523,47.241794,4.25,B5IIIe,HD6811,HIP5434,
43 bet And,17.433016,35.620558,2.05,M0+IIIa,HD6860,HIP5447,Mirach
81 psi03 Psc,17.455004,19.658407,5.56,F9IIIa,HD6903,HIP5454,
32 Cet,17.549774,-8.906135,6.39,K0III,HD6976,HIP5485,
44 And,17.578085,42.081475,5.67,F8V,HD6920,HIP5493,
33 Cet,17.639804,2.445674,5.94,K4/5III,HD7014,HIP5510,
31 Cas,17.663843,68.778623,5.31,A0Vnn,HD6829,HIP5518,
33 tet Cas,17.775675,55.149900,4.33,A7V,HD6961,HIP5542,Marfak
82 g Psc,17.778180,31.424729,5.15,F0V,HD7034,HIP5544,
45 And,17.792821,37.724124,5.79,B7III-IV,HD7019,HIP5550,
84 chi Psc,17.863412,21.034650,4.66,G8.5III,HD7087,HIP5571,
83 tau Psc,17.915072,30.089638,4.51,K0.5IIIb,HD7106,HIP5586,
32 Cas,17.922510,65.018854,5.56,B9IV,HD6972,HIP5589,
34 Cet,17.931284,-2.251078,5.92,K3III,HD7147,HIP5594,
35 Cet,18.127686,2.471580,6.55,F3/5V,HD7218,HIP5646,
86 zet Psc,18.432858,7.575360,5.19,A7IV,HD7344,HIP5737,
85 phi Psc,18.437275,24.583698,4.66,K0III,HD7318,HIP5742,
86 zet Psc,18.438561,7.578245,6.10,F7V,HD7345,HIP5743,
87 Psc,18.531784,16.133476,5.96,B8III,HD7374,HIP5778,
37 Cet,18.600170,-7.922826,5.13,F5V,HD7439,HIP5799,
88 Psc,18.676633,6.995138,6.02,G6III:,HD7446,HIP5824,
38 Cet,18.704885,-0.973794,5.69,F3V,HD7476,HIP5833,
nu. Phe,18.796339,-45.531665,4.96,F9VFe+0.4,HD7570,HIP5862,
kap Tuc,18.942343,-68.875927,4.25,F6V+K1V,HD7788,HIP5896,
39 Cet,19.151200,-2.500369,5.43,G6III:eFe-2,HD7672,HIP5951,
40 Cet,19.245858,-2.279159,6.52,G2V,HD7727,HIP5985,
89 f Psc,19.449819,3.614469,5.14,A1V,HD7804,HIP6061,
90 ups Psc,19.866640,27.264059,4.75,A3V,HD7964,HIP6193,
S Cas,19.924915,72.611347,,S3-54-8,HD7769,,
42 Cet,19.951233,-0.509032,5.87,G8IV+A(8),HD8036,HIP6226,
34 phi Cas,20.020485,58.231613,4.98,F0Ia,HD7927,HIP6242,
35 Cas,20.271943,64.658132,6.32,A2Vnn,HD8003,HIP6312,
91 l Psc,20.280721,28.738207,5.22,K5III,HD8126,HIP6315,
46 ksi And,20.585084,45.528777,4.87,K0-IIIb,HD8207,HIP6411,Adhil
43 Cet,20.645124,-0.449673,6.50,K0III,HD8335,HIP6429,
47 And,20.919235,37.714944,5.59,A2Vm,HD8374,HIP6514,
45 tet Cet,21.005847,-8.183261,3.59,K0IIIb,HD8512,HIP6537,
44 Cet,21.010578,-8.007415,6.21,A9V,HD8511,HIP6539,
46 Cet,21.405164,-14.598785,4.91,K2+III-IIIbCN0.5,HD8705,HIP6670,
37 del Cas,21.453964,60.235284,2.68,A5IV,HD8538,HIP6686,Ruchbah
36 psi Cas,21.483430,68.130014,4.73,K0III-IIIbCN0.5,HD8491,HIP6692,
93 rho Psc,21.563593,19.172347,5.34,F2V,HD8723,HIP6706,
94 Psc,21.673663,19.240424,5.50,K1III,HD8763,HIP6732,
47 Cet,21.714853,-13.056511,5.50,F0.5V,HD8829,HIP6748,
R Scl,21.742058,-32.543178,5.72,C-N5+,HD8879,HIP6759,
48 ome And,21.914086,45.406685,4.83,F4IV,HD8799,HIP6813,
95 Psc,21.915844,5.352788,7.04,G5V,HD8875,HIP6815,
gam Phe,22.091370,-43.318235,3.42,M0III,HD9053,HIP6867,
48 Cet,22.400565,-21.629336,5.10,A0V,HD9132,HIP6960,
97 Psc,22.470261,18.355669,6.02,A3Vb_lB,HD9100,HIP6981,
49 A And,22.525423,47.007273,5.26,G9III,HD9057,HIP6999,
98 mu. Psc,22.546313,6.143822,4.84,K3III,HD9138,HIP7007,
38 Cas,22.807320,70.264600,5.81,F6V,HD9021,HIP7078,
del Phe,22.812934,-49.072703,3.94,G8.5IIIb,HD9362,HIP7083,
99 eta Psc,22.870867,15.345832,3.62,G7IIIa,HD9270,HIP7097,Al'farg
39 chi Cas,23.482839,59.232054,4.68,G9IIIb,HD9408,HIP7294,
49 Cet,23.657411,-15.676361,5.61,A1V,HD9672,HIP7345,
100 Psc,23.715089,12.558636,7.30,A3V,HD9656,HIP7364,
101 Psc,23.943510,14.661421,6.22,B9.5III,HD9766,HIP7436,
50 Cet,23.995707,-15.400182,5.40,K1.5III,HD9856,HIP7450,
tau Scl,24.035398,-29.907304,5.69,F2V,HD9906,HIP7463,
50 ups And,24.199340,41.405459,4.10,F9V,HD9826,HIP7513,
102 pi. Psc,24.274692,12.141783,5.54,F0V,HD9919,HIP7535,
alf Eri,24.428523,-57.236753,0.46,B6Vpe,HD10144,HIP7588,Achernar
51 And,24.498158,48.628212,3.57,K3-IIICN0.5,HD9927,HIP7607,
40 Cas,24.628825,73.040038,5.28,G7III-IIIb,HD9774,HIP7650,
104 Psc,24.814338,14.285559,6.75,K0,HD10135,HIP7710,
52 chi And,24.837452,44.386175,5.01,G8III,HD10072,HIP7719,
105 Psc,24.920076,16.405855,5.98,K2III,HD10164,HIP7740,
p Eri,24.949220,-56.193318,5.68,K2V,HD10360,HIP7751,
p Eri,24.948186,-56.196448,5.80,K2V,HD10361,,
53 tau And,25.145069,40.577048,4.94,B5III,HD10205,HIP7818,
tau01 Hyi,25.339431,-79.148195,6.33,G6/8III,HD10859,HIP7879,
106 nu. Psc,25.357891,5.487613,4.44,K3III,HD10380,HIP7884,
pi. Scl,25.535956,-32.326988,5.26,K1II/III,HD10537,HIP7955,
43 Cas,25.585529,68.043025,5.59,A0VpSiSrEuHgMn,HD10221,HIP7965,
q01 Eri,25.622144,-53.740831,5.52,F9V,HD10647,HIP7978,
107 Psc,25.624011,20.268513,5.24,K1V,HD10476,HIP7981,
42 Cas,25.732764,70.622526,5.17,B9V,HD10250,HIP8016,
44 Cas,25.832319,60.551332,5.76,B8IIIn,HD10425,HIP8046,
phi Per,25.915158,50.688731,4.06,B1.5V:e-shell,HD10516,HIP8068,
52 tau Cet,26.017013,-15.937480,3.50,G8V,HD10700,HIP8102,
109 Psc,26.232606,20.083149,6.28,G3Va,HD10697,HIP8159,
110 omi Psc,26.348438,9.157751,4.26,G8III,HD10761,HIP8198,Torcularis Septentrionalis
eps Scl,26.411488,-25.052612,5.31,F1V+K1V,HD10830,HIP8209,
120 Phe,26.524856,-50.816254,5.49,M2III,HD10934,HIP8240,
q02 Eri,26.526096,-53.522036,5.03,A1V,HD10939,HIP8241,
3 Ari,26.647077,17.412698,6.55,A9III,HD10845,HIP8271,
tau02 Hyi,26.943529,-80.176309,6.04,F0IV,HD11604,HIP8366,
4 Ari,27.045515,16.955516,5.84,B9.5V,HD10982,HIP8387,
53 chi Cet,27.396262,-10.686409,4.68,F0V,HD11171,HIP8497,
1 Ari,27.535942,22.274564,7.18,A3IV,HD11155,,
1 Ari,27.535713,22.275336,6.20,K0III+,HD11154,HIP8544,
54 Cet,27.716553,11.043378,5.92,F0Vs,HD11257,HIP8588,
55 zet Cet,27.865131,-10.335031,3.72,K0.5III,HD11353,HIP8645,Baten Kaitos
1 Per,27.997167,55.147384,5.52,B1.5V,HD11241,HIP8704,
2 Per,28.039051,50.792793,5.69,B9pHgMn,HD11291,HIP8714,
eta01 Hyi,28.144892,-67.944505,6.76,B9V,HD11733,HIP8751,
2 alf Tri,28.270439,29.578819,3.42,F5III,HD11443,HIP8796,Metallah
55 And,28.322268,40.729790,5.39,K1III,HD11428,HIP8814,
5 gam01 Ari,28.382580,19.295953,4.59,A0Vnp_lB,HD11502,HIP8832,Mesarthim
5 gam02 Ari,28.382554,19.293856,4.52,A2IVpSiSrCr,HD11503,,Mesartkhim
111 ksi Psc,28.388904,3.187533,4.60,G8.5IIIb,HD11559,HIP8833,
psi Phe,28.411414,-46.302669,4.41,M4III,HD11695,HIP8837,
phi Phe,28.591800,-42.496928,5.11,A3V,HD11753,HIP8882,
45 eps Cas,28.598892,63.670100,3.37,B3Vp_sh,HD11415,HIP8886,Segin
6 bet Ari,28.660046,20.808031,2.65,kA4hA5mA5Va,HD11636,HIP8903,Sheratan
eta02 Hyi,28.733881,-67.647303,4.68,G8IIIb,HD11977,HIP8928,
sig Hyi,28.960621,-78.348546,6.15,F5/6IV/V,HD12363,HIP8991,
7 Ari,28.962660,23.577315,5.75,G8III,HD11763,HIP8993,
chi Eri,28.989416,-51.608878,3.70,G8IIIbCNIV,HD11937,HIP9007,
46 ome Cas,29.000118,68.685240,4.97,B5III,HD11529,HIP9009,
56 And,29.039019,37.251833,5.67,K0III,HD11749,HIP9021,
56 Cet,29.167511,-22.526785,4.85,K3III,HD11930,HIP9061,
8 iot Ari,29.337728,17.817533,5.11,K1Vp,HD11909,HIP9110,
9 lam Ari,29.482153,23.596063,4.77,F0V,HD11973,HIP9153,
58 Cet,29.483906,-2.099364,8.85,B8V,HD12021,HIP9155,
58 Cet,29.497547,-2.059500,6.56,A2IV,HD12020,HIP9165,
3 Per,29.639608,49.204353,5.70,K0IV,HD11949,HIP9222,
alf Hyi,29.692244,-61.569822,2.84,F0IV,HD12311,HIP9236,
57 Cet,29.942500,-20.824539,5.43,M1:III,HD12255,HIP9326,
59 ups Cet,30.001285,-21.077832,4.02,M0III,HD12274,HIP9347,
112 Psc,30.038165,3.097014,5.88,G2IV,HD12235,HIP9353,
chi Tri,30.140572,27.888668,9.00,A7V,HD12211,HIP9383,
pi. For,30.311345,-30.001830,5.35,G8III,HD12438,HIP9440,
chi Phe,30.426568,-44.713507,5.14,K5IV,HD12524,HIP9459,
48 A Cas,30.489376,70.907025,4.54,A3Va,HD12111,HIP9480,
113 alf Psc,30.511758,2.763772,4.11,kA0hA7Sr,HD12447,,Alrisha
113 alf Psc,30.511259,2.763811,5.13,kA2hF2mF2(IV),HD12446,HIP9487,Alrisha
4 g Per,30.575452,54.487540,5.04,B8III,HD12303,HIP9505,
52 Cas,30.718650,64.901464,5.99,A1Vn,HD12279,HIP9564,
3 eps Tri,30.741483,33.284134,5.52,A2V,HD12471,HIP9570,
53 Cas,30.750782,64.390018,5.61,A0Ib,HD12301,HIP9573,
60 Cet,30.798543,0.128508,5.42,A3IV,HD12573,HIP9589,
50 Cas,30.858785,72.421294,3.94,A2V,HD12216,HIP9598,
10 Ari,30.913939,25.935476,5.69,F8V,HD12558,HIP9621,
61 Cet,30.950682,-0.340243,5.94,G5IIIb+F5:IV,HD12641,HIP9631,
57 gam01 And,30.974801,42.329728,2.10,K2+IIb,HD12533,HIP9640,Almach
57 gam02 And,30.978158,42.330911,5.82,B9.5V+A0V,HD12534,,
nu. For,31.122661,-29.296819,4.69,B9.5IIIspSi,HD12767,HIP9677,
47 Cas,31.280934,77.281340,5.27,F0V,HD12230,HIP9727,
49 Cas,31.381459,76.115060,5.22,G8III,HD12339,HIP9763,
12 kap Ari,31.641354,22.648319,5.02,A2m,HD12869,HIP9836,
11 Ari,31.705145,25.704556,6.02,B9IV-Vn,HD12885,HIP9859,
13 alf Ari,31.793357,23.462418,2.01,K2-IIIbCa-1,HD12929,HIP9884,Hamal
58 And,32.121921,37.859085,4.82,A5IV-V,HD13041,HIP9977,
54 Cas,32.284420,71.552007,6.57,F8,HD12800,HIP10031,
14 Ari,32.355521,25.939838,4.98,F2III,HD13174,HIP10053,
4 bet Tri,32.385946,34.987297,3.00,A5III,HD13161,HIP10064,
15 Ari,32.656654,19.500337,5.69,M3-IIIab,HD13325,HIP10155,
59 And,32.720102,39.039543,6.07,B9V,HD13294,HIP10176,
59 And,32.723569,39.043310,6.10,A1Vn,HD13295,HIP10180,
16 Ari,32.800229,25.936942,6.00,K4III,HD13363,HIP10203,
64 Cet,32.837828,8.569807,5.62,G0IV,HD13421,HIP10212,
5 Tri,32.854262,31.526395,6.23,A1m,HD13372,HIP10220,
5 Per,32.871639,57.645546,6.35,B5Ia,HD13267,HIP10227,
63 Cet,32.899312,-1.825427,5.93,K0III,HD13468,HIP10234,
6 Tri,33.092833,30.303068,4.95,G0III+G5III,HD13480,HIP10280,
66 Cet,33.198089,-2.393630,5.66,F8V,HD13612,HIP10305,
17 eta Ari,33.200357,21.210994,5.27,F5V,HD13555,HIP10306,
mu. For,33.226958,-30.723826,5.26,A0V,HD13709,HIP10320,
65 ksi01 Cet,33.250001,8.846702,4.35,G7IIIBa0.4Fe-1,HD13611,HIP10324,
19 Ari,33.263767,15.279863,5.70,M0III,HD13596,HIP10328,
60 b And,33.305509,44.231647,4.83,K4-III:,HD13520,HIP10340,
6 Per,33.401430,51.065780,5.31,G8.5IIIbFe-2,HD13530,HIP10366,
pi.01 Hyi,33.560587,-67.841440,5.56,M1-III,HD14141,HIP10418,
55 Cas,33.621202,66.524440,6.07,F9II+A2Vn,HD13474,HIP10438,
pi.02 Hyi,33.869274,-67.746363,5.66,K2III,HD14287,HIP10513,
21 Ari,33.928236,25.043045,5.58,F6V,HD13872,HIP10535,
20 Ari,33.941874,25.782938,5.79,F6III-IV,HD13871,HIP10540,
7 Tri,33.984532,33.358898,5.25,A0V,HD13869,HIP10559,
phi Eri,34.127440,-51.512165,3.57,B8IV,HD14228,HIP10602,
67 Cet,34.246014,-6.422117,5.50,G8.5IIIb,HD14129,HIP10642,
8 del Tri,34.263460,34.224232,4.87,G0.5VFe-0.5,HD13974,HIP10644,
9 gam Tri,34.328613,33.847193,4.00,A1Vnn,HD14055,HIP10670,
8 Per,34.499530,57.899821,5.75,K3III,HD13982,HIP10718,
7 chi Per,34.519102,57.516322,6.02,G7.0III,HD13994,HIP10729,
22 tet Ari,34.531378,19.901158,5.57,A1Vn,HD14191,HIP10732,
10 Tri,34.737473,28.642676,5.29,A2V,HD14252,HIP10793,
62 c And,34.819987,47.379976,5.31,A0V,HD14212,HIP10819,
68 omi Cet,34.836634,-2.977638,6.53,M5-9IIIe+DA,HD14386,HIP10826,Mira
63 And,35.242506,50.151496,5.59,B9VpSi,HD14392,HIP10944,
del Hyi,35.437260,-68.659419,4.09,A2V,HD15008,HIP11001,
69 Cet,35.485948,0.395672,5.29,M1/2III,HD14652,HIP11021,
70 Cet,35.551648,-0.884854,5.42,F0/2V,HD14690,HIP11046,
9 i Per,35.589310,55.845653,5.17,A1Ia,HD14489,HIP11060,
kap For,35.635794,-23.816800,5.20,G0V,HD14802,HIP11072,
kap Hyi,35.717955,-73.645792,5.99,K1III,HD15248,HIP11095,
64 And,36.103817,50.006543,5.19,G8III,HD14770,HIP11220,
24 ksi Ari,36.204407,10.610559,5.48,B7IV,HD14951,HIP11249,
lam Hor,36.224625,-60.311948,5.36,F2II/III,HD15233,HIP11258,
