id,alpha,delta,diameter,axisRatio,posAngle,MinAx,Type,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,NGC,IC,Common name,NED notes,OpenNGC notes
IC0002,2.75367,-12.82286,0.98,3.1,142,0.32,G,15.46,,12.26,11.48,11.17,23.45,Sb,,,IRAS 00084-1306,MCG -02-01-031,PGC 000778
IC0003,3.02538,-0.41522,0.93,1.4,53,0.67,G,14.78,,11.53,10.79,10.54,23.5,E,,,MCG +00-01-038,PGC 000836,SDSS J001206.08-002454.7
IC0004,3.36225,17.48644,1.17,1.4,12,0.84,G,14.14,,11.51,10.65,10.5,23.01,Sc,,,IRAS 00108+1712,MCG +03-01-029,PGC 000897
IC0005,4.39554,-9.54336,0.99,1.5,9,0.66,G,14.57,,11.5,10.85,10.5,23.4,E,,,MCG -02-01-047,PGC 001145,SDSS J001734.93-093236.0
IC0006,4.72933,-3.27608,1.23,1.1,146,1.08,G,14.57,,11.03,10.32,10.08,23.89,E,,,MCG -01-01-075,PGC 001228,
IC0007,4.7215,10.59469,0.9,1.4,174,0.63,G,14.63,,11.33,10.57,10.26,23.22,S0,,,PGC 001216,,
IC0008,4.76133,-3.22208,0.82,2.4,129,0.34,G,15.16,,12.7,12.08,12.08,23.4,E?,,,MCG -01-01-076,PGC 001234,
IC0009,4.93325,-14.12189,0.59,1.3,122,0.46,G,15.41,,12.38,11.71,11.28,22.88,Sa,,,MCG -02-02-001,PGC 001271,
IC0010,5.07225,59.30378,6.76,1.1,129,6.03,G,11.78,10.35,7.23,6.34,6.01,24.53,IB,,,IRAS 00175+5902,IRAS 00177+5900,MCG +10-01-001
IC0012,5.06271,-2.65311,0.96,3,20,0.32,G,15.08,,12.02,11.3,10.92,22.93,Sbc,,,IRAS 00177-0255,MCG -01-02-003,PGC 001299
IC0013,5.08371,7.7005,1.29,2.4,162,0.53,G,14.93,,12.57,11.78,11.72,23.53,Sbc,,,MCG +01-02-003,PGC 001301,SDSS J002020.09+074202.2
IC0015,6.98996,-0.06128,0.44,1.2,91,0.38,G,15.9,,12.98,12.33,12.03,22.85,SBb,,,IRAS 00253-0020,LEDA 165298,SDSS J002757.58-000340.6
IC0016,7.03188,-13.09392,0.58,1.8,62,0.32,G,15.15,,12.75,12.05,11.71,23,S0-a,,,IRAS 00255-1322,MCG -02-02-017,PGC 001730
IC0017,7.12408,2.64861,0.67,1.2,102,0.54,G,14.77,,11.68,10.96,10.78,23.04,E?,,,MCG +00-02-044,PGC 001753,
IC0018,7.14567,-11.58669,1.08,2.6,29,0.41,G,15.03,,12.14,11.39,11.04,23.62,Sb,,,MCG -02-02-023,PGC 001759,
IC0019,7.1645,-11.64078,0.79,1.2,30,0.67,G,15.15,,11.65,10.96,10.74,23.52,E,,,MCG -02-02-024,PGC 001762,
IC0020,7.16533,-13.01031,0.91,1.2,18,0.77,G,14.88,,11.4,10.65,10.51,23.41,S0,,,MCG -02-02-021,PGC 001755,
IC0021,7.29346,-0.16378,0.49,1.1,6,0.45,G,15.54,,13.05,12.42,12.11,22.96,SBb,,,MCG +00-02-053,PGC 001785,SDSS J002910.42-000949.5
IC0022,7.38821,-9.08075,0.81,1.8,45,0.44,G,14.73,,11.63,10.98,10.73,23.07,S0,,,MCG -02-02-027,PGC 001815,SDSS J002933.17-090450.6
IC0023,7.71167,-12.72025,0.85,1.1,20,0.77,G,15.05,,11.75,11.23,10.95,23.52,E,,,MCG -02-02-032,PGC 001872,
IC0025,7.80038,-0.40736,0.86,2,34,0.44,G,15.29,,12.15,11.43,11.17,23.68,S0-a,,,IRAS 00286-0040,MCG +00-02-064,PGC 001905
IC0027,8.276,-13.3715,0.58,1.7,148,0.34,G,15.82,,13.49,12.84,12.39,23.37,,,,LEDA 143572,,
IC0028,8.28633,-13.45628,0.3,1.4,85,0.22,G,15.56,,13.14,12.53,12.27,,E,,,IRAS 00306-1343,LEDA 169992,
IC0029,8.545,-2.17764,0.66,1.3,160,0.49,G,15.79,,11.76,11.09,10.69,23.75,E,,,MCG +00-02-072,PGC 002042,
IC0030,8.56133,-2.08458,0.69,1.8,23,0.39,G,15.17,,12.08,11.28,11,23.71,S0-a,,,MCG +00-02-074,PGC 002050,
IC0031,8.60263,12.26817,1.16,5,90,0.23,G,15.62,,11.44,10.55,10.24,23.86,Sab,,,MCG +02-02-021,PGC 002062,UGC 00340
IC0032,8.75704,-2.14169,0.62,1.6,1,0.39,G,16.15,,12.22,11.52,11.16,23.62,S0-a,,,MCG +00-02-080,PGC 002096,
IC0033,8.7715,-2.13769,0.78,1.3,123,0.58,G,15.29,,12.12,11.46,11.19,23.6,,,,MCG +00-02-082,PGC 002101,
IC0034,8.90175,9.12425,2.81,2.7,156,1.05,G,13.77,,10.36,9.65,9.42,24.32,SBa,,,MCG +01-02-032,PGC 002134,UGC 00351
IC0035,9.41617,10.35797,0.9,1.2,18,0.74,G,14.96,,11.99,11.23,10.93,23.36,Sc,,,MCG +02-02-024,PGC 002246,UGC 00374
IC0036,9.45688,-15.44128,0.31,1,60,0.3,G,15.54,,12.72,12.07,11.67,,,,,IRAS 00353-1542,PGC 138202,
IC0037,9.64242,-15.35869,0.67,1.8,158,0.38,G,16.23,,13.19,12.37,11.97,23.37,SBbc,,,MCG -03-02-029,PGC 002299,
IC0038,9.6615,-15.41983,0.77,1.4,65,0.57,G,15.02,,12.41,11.72,11.39,22.93,Sc,,,IRAS 00361-1541,MCG -03-02-030,PGC 002311
IC0040,9.83917,2.45622,1.05,2.4,14,0.43,G,15.04,,11.79,11.08,10.76,23.27,Sb,,,MCG +00-02-106,PGC 002376,UGC 00413
IC0041,9.91821,-14.17433,0.71,1.6,162,0.45,G,15.2,,13.52,12.87,12.63,23.2,,,,LEDA 138206,,
IC0042,10.27433,-15.42808,0.76,1.4,56,0.53,G,15.38,,12.81,11.98,11.74,23.25,SABc,,,MCG -03-02-036,PGC 002463,
IC0043,10.59192,29.64164,1.26,1.1,87,1.15,G,13.95,13.25,11.23,10.56,10.24,23.13,SABc,,,IRAS 00396+2922,MCG +05-02-040,PGC 002536
IC0046,10.74154,27.25347,0.8,1.3,82,0.61,G,14.28,,12.3,11.69,11.45,22.83,E-S0,,,IRAS 00402+2658,PGC 002575,
IC0047,10.72921,-13.74072,0.41,1.7,100,0.24,G,16.09,,12.72,12.02,11.75,,,,,PGC 3093693,,
IC0048,10.89363,-8.1865,1.12,1.2,172,0.92,G,14.01,13.16,11.03,10.34,10.03,23.01,S0,,1577,IRAS 00410-0827,MCG -01-03-001,MCG -02-03-001
IC0049,10.98388,1.85028,1.28,1.2,77,1.04,G,14.28,13.78,12.83,12.62,12.06,23.39,SABc,,,MCG +00-03-003,PGC 002617,SDSS J004356.15+015101.3
IC0050,11.52379,-9.503,1.02,1.2,169,0.87,G,14.74,,11.45,10.71,10.49,23.71,E,,,MCG -02-03-010,PGC 002698,SDSS J004605.70-093010.7
IC0051,11.60092,-13.44236,1.7,1.5,55,1.11,G,13.75,,11.26,10.61,10.25,23.63,S0,,,IRAS 00438-1342,MCG -02-03-011,PGC 002710
IC0052,12.09908,4.09186,0.95,2.3,96,0.41,G,15.31,,13.18,12.74,12.54,23.41,Sb,,,MCG +01-03-005,PGC 002834,UGC 00494
IC0053,12.66988,10.60028,0.87,1.4,94,0.62,G,15.33,,11.34,10.64,10.3,23.75,E-S0,,,MCG +02-03-005,PGC 002951,UGC 00516
IC0055,12.92663,7.71853,0.55,2,175,0.28,G,15.01,,11.26,10.51,10.26,22.14,Sa,,,MCG +01-03-006,PGC 003025,
IC0056,12.87475,-12.84431,0.82,1.1,116,0.74,G,15.14,,13.14,12.6,12.6,23.23,SABc,,,MCG -02-03-030,PGC 003014,
IC0057,13.70208,11.84119,1.03,1.1,10,0.96,G,15.48,,12.32,11.47,11.4,24.3,S0,,,MCG +02-03-010,PGC 003229,UGC 00559
IC0058,13.76017,-13.67808,0.84,1.7,105,0.5,G,15.51,,12.03,11.25,10.97,23.74,E-S0,,,MCG -02-03-041,PGC 003257,
IC0059,14.36921,61.14367,10,2,,5,RfN,,,,,,,,,,,,
IC0060,14.01763,-13.35792,1.04,1.4,48,0.76,G,15.75,,11.61,10.88,10.52,24.14,Sc,,,MCG -02-03-049,PGC 003324,
IC0061,14.28,7.50708,1.34,1,175,1.29,G,15.23,,11.65,10.97,10.54,24.61,S0,,,MCG +01-03-009,PGC 003408,UGC 00589
IC0062,14.68308,11.808,0.76,1.7,25,0.46,G,14.97,,11.79,11.08,10.77,22.85,Sbc,,,MCG +02-03-021,PGC 003507,UGC 00606
IC0063,14.87017,60.91169,10,3.3,,3,HII,13.33,,,,,,,,,,,
IC0064,14.85175,27.05906,1.03,1.6,148,0.65,G,15.1,13.96,11.8,11.03,10.77,23.88,S0,,,MCG +04-03-031,PGC 003550,UGC 00613
IC0065,15.23092,47.68197,2.56,3.5,154,0.73,G,13.6,,10.5,9.78,9.51,23.45,Sbc,,,IRAS 00580+4724,MCG +08-03-005,PGC 003635
IC0066,15.13542,30.79722,1.23,2.9,124,0.42,G,14.93,14.1,11.73,11.12,10.74,23.66,Sa,,,MCG +05-03-033,PGC 003606,UGC 00623
IC0069,15.34858,31.04083,0.76,1.9,71,0.41,G,14.65,,11.89,11.02,10.86,23.04,SABb,,,MCG +05-03-041,PGC 003666,
IC0070,15.26646,0.05075,0.42,1.8,147,0.24,G,16.77,,13.37,12.65,12.29,23.65,S0-a,,,,,
IC0073,16.22063,4.76714,0.62,1.3,149,0.48,G,15.38,,13.3,12.43,12.5,23.23,,,,PGC 003842,,
IC0074,16.48313,4.09025,0.57,1.2,5,0.46,G,15.59,,12.32,11.73,11.5,23.1,E-S0,,,PGC 003897,,
IC0075,16.79838,10.83689,0.66,1.3,31,0.51,G,14.98,,12.38,11.67,11.24,22.8,Sb,,,MCG +02-03-035,PGC 003959,UGC 00684
IC0076,17.04879,-4.5545,0.81,2.3,116,0.36,G,15.44,,11.98,11.21,10.87,23.52,S0-a,,,MCG -01-04-001,PGC 004035,
IC0077,17.18229,-15.42092,0.52,1.2,90,0.44,G,16.23,15.04,12.6,11.91,11.75,23.56,S0,,,LEDA 073653,,
IC0078,17.19875,-15.84508,1.75,2.3,126,0.75,G,15.24,,11.08,10.4,10.08,24.55,Sa,,,MCG -03-04-010,PGC 004079,
IC0079,17.20713,-15.94858,1.24,1.4,158,0.91,G,14.93,,11.25,10.54,10.29,24.12,E-S0,,,MCG -03-04-011,PGC 004082,
IC0080,17.21208,-15.4075,1.2,,,,GPair,,,,,,,,,,,Consists of the galaxies MCG -03-04-008 and -009.,
IC0080 NED01,17.21125,-15.40894,1.5,1.5,83,1.03,G,14.83,,,,,24.48,E,,,PGC 004072,,
IC0080 NED02,17.21304,-15.40631,1.5,1.4,50,1.06,G,13.93,12.9,11.16,10.42,10.27,23.66,E,,,MCG -03-04-008,PGC 004071,
IC0081,17.34275,-1.69586,1.17,1.3,145,0.91,G,14.53,,11.4,10.71,10.44,23.57,E?,,,MCG +00-04-015,PGC 004127,
IC0082,17.27413,-16.00031,0.91,1.1,93,0.83,G,14.85,,11.75,11.09,10.7,23.32,S0,,,MCG -03-04-013,PGC 004103,
IC0083,17.62408,1.68936,0.68,1.5,114,0.45,G,15.16,,12.3,11.57,11.3,23.2,,,,MCG +00-04-021,PGC 004182,
IC0084,17.85667,1.64019,0.67,1.6,12,0.43,G,15.21,,11.89,11.13,11.07,23.13,S0-a,,,MCG +00-04-029,PGC 004265,
IC0086,18.36883,-16.24167,0.72,2.1,142,0.34,G,15.31,,12.33,11.55,11.26,23.29,S0-a,,,IRAS 01110-1630,LEDA 165316,
IC0087,18.56579,0.76533,0.69,1.1,66,0.63,G,15.37,,12.79,12.26,11.76,23.21,Sbc,,,MCG +00-04-048,PGC 004454,SDSS J011415.78+004555.1
IC0088,18.63042,0.79175,0.53,1.2,129,0.44,G,15.95,18.07,13.16,12.62,12.09,23.15,Sbc,,,LEDA 1175571,SDSS J011431.30+004730.2,SDSS J011431.30+004730.3
IC0090,19.12646,-7.97714,1.25,1.1,146,1.12,G,14.85,,11.02,10.36,10.12,24.14,E,,,MCG -01-04-023,PGC 004606,
IC0091,19.66429,2.55367,0.71,2.7,64,0.26,G,16.48,,12.91,12.16,11.82,24.3,,,,LEDA 1230543,,
IC0093,19.75975,-17.06039,1.21,2.2,171,0.56,G,14.03,13.57,11.79,11.08,10.85,22.91,Sb,,1671,IRAS 01165-1719,MCG -03-04-043,PGC 004724
IC0095,19.8245,-12.57414,0.61,1.2,54,0.5,G,16.2,,12.64,11.76,11.54,23.72,,,,LEDA 950887,,
IC0096,20.13842,29.61725,0.78,2.6,44,0.3,G,14.65,,12.93,12.56,12.01,22.48,Sbc,,,PGC 004840,,
IC0098,20.22867,-12.60472,0.68,1.1,55,0.61,G,16.3,,12.14,11.39,11.14,23.87,,,,MCG -02-04-027,PGC 004869,
IC0099,20.614,-12.95256,0.58,1.1,54,0.52,G,15.82,,12.64,12.16,11.59,23.1,Sc,,,MCG -02-04-034,PGC 004997,
IC0100,20.72483,-4.64303,1.04,1.4,88,0.77,G,14.48,,11.26,10.56,10.24,23.36,E-S0,,,MCG -01-04-030,PGC 005029,
IC0101,21.03563,9.93053,1.24,2.1,124,0.59,G,15.03,,12.48,11.78,11.88,23.76,Sb,,,MCG +02-04-036,PGC 005147,UGC 00949
IC0102,21.10971,9.88656,0.75,2,111,0.37,G,15.57,,12.65,11.95,11.68,23.59,S0-a,,,PGC 005172,UGC 00954,
IC0103,21.15183,2.04425,0.95,1.4,128,0.67,G,15.36,,11.63,10.94,10.6,23.94,E-S0,,,MCG +00-04-117,PGC 005192,UGC 00963
IC0105,21.19271,2.07528,0.58,2,47,0.29,G,15.59,,12.66,11.9,11.63,23.28,S0-a,,,PGC 005206,,
IC0107,21.35275,14.86461,1.62,1.2,6,1.31,G,14.25,,10.79,10.05,9.81,24.13,E,,1700,MCG +02-04-041,PGC 005271,SDSS J012524.65+145152.6
IC0108,21.16233,-12.63558,1.3,3.6,4,0.36,G,15.48,,12.27,11.52,11.14,23.66,Sc,,,MCG -02-04-041,PGC 005205,
IC0109,21.30454,2.06622,0.76,1.3,70,0.57,G,14.87,,11.91,11.25,10.88,23.06,S0,,,MCG +00-04-128,PGC 005251,UGC 00980
IC0112,21.51258,11.44297,0.72,1.9,127,0.37,G,14.17,,12.22,11.56,11.29,21.61,Sd,,,IRAS 01234+1110,MCG +02-04-047,PGC 005328
IC0113,21.60625,19.19197,0.35,1.3,160,0.26,G,,,13.06,12.2,11.97,,,,,,,
IC0114,21.59408,9.90994,1.4,2.5,154,0.56,G,15.62,,11.82,11.11,10.96,24.91,S0,,,MCG +02-04-048,PGC 005343,UGC 01015
IC0115,21.72683,19.21469,0.76,1,80,0.76,G,15.18,14.03,11.69,11.01,10.84,23.46,E,,,MCG +03-04-039,PGC 005395,
IC0116,21.71071,-4.98228,0.87,1.6,125,0.56,G,14.62,,12.67,12.03,11.9,22.72,Sbc,,,MCG -01-04-049,PGC 005389,
IC0118,21.90017,-4.99747,0.72,1.3,31,0.55,G,15.81,,12.19,11.49,11.23,23.9,E,,,MCG -01-04-053,PGC 005446,
IC0119,21.97925,-2.04047,1.19,2.1,77,0.58,G,15.18,,11.6,10.93,10.7,24.04,S0-a,,,MCG +00-04-157,PGC 005465,UGC 01047
IC0120,22.054,-1.91553,0.92,2.8,138,0.33,G,15.12,,12.03,11.35,11.05,23.73,S0,,,PGC 005484,,
IC0121,22.09075,2.51303,1,1.6,108,0.62,G,14.25,,11.57,11,10.58,22.64,Sbc,,,IRAS 01257+0215,MCG +00-04-159,PGC 005492
IC0122,22.055,-14.83889,0.65,2,14,0.32,G,15.96,,12.81,12.11,11.82,23.64,S0-a,,,LEDA 919275,,
IC0123,22.21442,2.44644,0.67,1.4,44,0.47,G,15.25,15.16,12.11,11.45,11.14,23.24,E,,,MCG +00-04-161,PGC 005524,
IC0125,22.32646,-13.27983,0.61,1,53,0.59,G,16.18,,12.37,11.58,11.49,23.5,,,,MCG -02-04-060,PGC 005560,
IC0126,22.44942,-1.98375,0.89,1.1,30,0.81,G,15.66,,11.89,11.25,10.92,24.03,,,,PGC 005577,SDSS J012947.86-015901.4,UGC 01071
IC0127,22.44838,-6.98006,1.69,3.8,110,0.45,G,14.83,9.2,10.94,10,9.79,23.47,Sb,,,MCG -01-04-057,PGC 005581,
IC0128,22.84946,-12.62439,0.82,1.3,165,0.61,G,15.35,,13.31,12.73,12.82,23.31,SBc,,,MCG -02-04-063,PGC 005659,
IC0129,22.88025,-12.65439,1.23,2.1,63,0.6,G,15.28,,11.59,10.95,10.64,24.28,S0-a,,,MCG -02-05-001,PGC 005675,
IC0130,22.86975,-15.59161,0.75,1.2,27,0.64,G,15.49,,12.26,11.61,11.31,23.52,S0,,,MCG -03-05-001,PGC 005671,
IC0131,23.31075,30.75325,0.3,,,,HII,12.52,,,,,,,,,,HII region in Messier 033. The IC object includes the surrounding star cloud.,
IC0132,23.31633,30.94561,0.67,1.2,,0.55,HII,14.87,14.82,,,,,,,,,,
IC0133,23.31325,30.88839,0.45,1,,0.45,HII,18.28,18.45,14.48,13.91,13.51,,,,,IRAS 01304+3037,,HII region in Messier 033. The IC object includes the surrounding star cloud.
IC0135,23.56471,30.62008,0.4,,,,HII,,,,,,,,,,,HII region in Messier 033.,
IC0136,23.56683,30.56206,,,,,*Ass,11.04,,,,,,,,,,Stellar association in Messier 033.,
IC0137,23.41213,30.5225,,,,,*Ass,,,,,,,,,,,Star cloud in Messier 033.,
IC0138,23.25825,-0.68983,1.12,1.5,23,0.74,G,14.72,,11.9,11.18,10.98,23.37,SABc,,,MCG +00-05-003,PGC 005771,SDSS J013301.98-004123.3
IC0139,23.49683,30.56744,,,,,*Ass,13.1,,,,,,,,,,Star cloud in Messier 033.,
IC0140,23.49238,30.55014,,,,,*Ass,,,,,,,,,,,Star cloud in Messier 033.,
IC0141,23.21546,-14.81461,1.23,1.4,5,0.91,G,14.33,,11.87,11.35,10.99,23.33,Sbc,,,IRAS 01304-1504,MCG -03-05-004,PGC 005765
IC0142,23.48138,30.75781,0.5,,,,HII,11.3,14.2,,,,,,,,,HII region in Messier 033.,
IC0143,23.54554,30.77642,0.3,,,,HII,11.4,,,,,,,,,,HII region in Messier 033.,
IC0144,24.42021,-13.31467,0.74,1.1,46,0.67,G,15.74,,12,11.35,11,24.01,E,,,MCG -02-05-028,PGC 006027,
IC0145,24.66033,0.7415,0.69,1.4,6,0.5,G,15.4,,12.49,11.83,11.52,23.17,Sb,,,MCG +00-05-020,PGC 006084,SDSS J013838.48+004429.4
IC0147,24.99896,-14.86264,0.76,1.8,58,0.42,G,15.23,,12.55,11.78,11.45,22.97,Sc,,,IRAS 01375-1506,MCG -03-05-013,PGC 006164
IC0148,25.61238,13.97703,1.82,3.2,45,0.57,G,13.84,,,,,23.07,I,,,PGC 006292,SDSS J014226.97+135837.2,SDSS J014226.98+135837.1
IC0149,25.60575,-16.30042,1.27,3.1,82,0.41,G,14.4,,11.52,10.8,10.46,22.82,Sbc,,,IRAS 01400-1633,MCG -03-05-015,PGC 006289
IC0150,25.73967,4.20017,0.88,1.8,137,0.5,G,14.86,,12.71,12.33,11.77,22.99,Sb,,,MCG +01-05-026,PGC 006316,UGC 01202
IC0154,26.31779,10.64919,1.19,5.2,66,0.23,G,14.83,,11.23,10.52,10.23,22.86,Sb,,,MCG +02-05-023,PGC 006439,UGC 01229
IC0156,26.37171,10.55272,1.51,1.1,105,1.33,G,14.92,,11.01,10.35,10.07,24.5,Sa,,,MCG +02-05-025,PGC 006448,UGC 01231
IC0158,26.473,-6.93569,0.7,1.3,140,0.53,G,15.88,,12.06,11.45,11.26,23.74,,,,LEDA 144318,,
IC0159,26.60438,-8.63661,1.35,1.8,28,0.75,G,14.18,,12.32,11.65,11.51,23.12,SBb,,,IRAS 01439-0853,MCG -02-05-042,PGC 006505
IC0160,26.62317,-13.24772,1.28,1.5,85,0.86,G,14.88,,11.32,10.63,10.32,24.16,E-S0,,,MCG -02-05-044,PGC 006511,
IC0161,27.18225,10.50789,0.9,1.7,67,0.54,G,14.27,,11.54,10.88,10.59,22.95,S0-a,,,MCG +02-05-036,PGC 006644,UGC 01266
IC0162,27.22263,10.52161,1.32,1,85,1.28,G,14.46,,10.29,9.56,9.29,23.77,S0,,,MCG +02-05-038,PGC 006643,UGC 01267
IC0163,27.31246,20.71131,1.62,2.2,90,0.73,G,13.71,13.26,11.56,10.94,10.64,23.05,SBd,,,IRAS 01465+2027,MCG +03-05-018,PGC 006675
IC0164,27.28504,-3.90439,1.58,1.2,167,1.35,G,14.04,,10.63,9.95,9.67,23.9,E,,,MCG -01-05-037,PGC 006666,
IC0166,28.09925,61.85261,7.5,,,,OCl,13,11.7,,,,,,,,,,
IC0167,27.78567,21.91281,1.6,1.7,107,0.94,G,13.61,13.26,12.75,11.78,11.69,22.95,Sc,,,IRAS 01483+2139,MCG +04-05-021,PGC 006833
IC0168,27.61513,-8.52294,1.12,2.9,104,0.39,G,14.85,,11.35,10.63,10.38,23.46,S0-a,,,MCG -02-05-058,PGC 006763,SDSS J015027.63-083122.5
IC0169,27.664,-12.67961,0.74,1.5,76,0.51,G,15.79,,12.03,11.42,11.04,23.77,E-S0,,,LEDA 949241,,
IC0170,27.98967,-8.51761,0.78,1.3,92,0.6,G,15.34,,12.2,11.57,11.39,23.59,E,,,MCG -02-05-066,PGC 006890,SDSS J015157.51-083103.4
IC0171,28.79254,35.28189,2.26,1.2,107,1.9,G,13.69,,9.9,9.01,8.89,24.18,S0-a,,,MCG +06-05-050,PGC 007139,UGC 01388
IC0172,28.72596,0.81122,0.48,1.3,95,0.37,G,14.74,,12.33,11.62,11.36,22.24,SBbc,,,IRAS 01523+0033,MCG +00-05-049,PGC 007116
IC0173,28.98813,1.28517,0.92,1.3,90,0.72,G,14.97,14.09,12.17,11.61,11.35,23.35,SBbc,,,MCG +00-06-001,PGC 007217,UGC 01402
IC0174,29.067,3.76186,1.49,1.5,97,0.99,G,14.52,,11.36,10.7,10.54,24.1,S0,,,MCG +01-06-008,PGC 007249,UGC 01409
IC0175,29.07858,1.33242,0.52,1.1,9,0.46,G,15.7,,13.07,12.33,12.03,23.14,,,,PGC 007261,,
IC0176,29.2225,-2.01897,1.78,4.7,94,0.38,G,14.9,,12.04,11.46,11.08,23.57,Sc,,,MCG +00-06-004,PGC 007306,UGC 01426
IC0177,29.25242,-0.08986,0.51,1.1,11,0.47,G,15.47,,12.91,12.09,11.88,22.79,Sbc,,,PGC 007326,SDSS J015700.57-000523.4,SDSS J015700.58-000523.4
IC0178,29.72863,36.67469,0.94,1.2,159,0.79,G,14.06,13.28,11.07,10.4,10.1,22.55,Sab,,,IRAS 01559+3625,MCG +06-05-070,PGC 007488
IC0179,30.04792,38.02133,1.12,1.2,111,0.9,G,13.55,12.56,10.43,9.74,9.47,22.67,E,,,MCG +06-05-075,PGC 007581,UGC 01475
IC0180,30.00171,23.60433,0.83,2.4,150,0.34,G,15.3,,11.81,11.15,10.85,23.04,Sb,,,MCG +04-05-029,PGC 007558,
IC0181,30.00971,23.65864,0.57,1.2,55,0.49,G,15.85,,12.73,11.97,11.75,23.43,,,,MCG +04-05-030,PGC 007559,
IC0182,29.96588,7.41183,1.06,1.5,36,0.7,G,14.54,,12.07,11.55,11.17,23.26,Sb,,,IRAS 01572+0710,MCG +01-06-026,PGC 007556
IC0183,29.89188,-5.34714,1.19,3.2,98,0.37,G,14.89,,11.47,10.84,10.63,23.88,S0,,,MCG -01-06-015,PGC 007538,
IC0184,29.96346,-6.84039,1.12,1.9,178,0.59,G,14.67,13.89,11.59,10.92,10.62,23.35,SBa,,,MCG -01-06-021,PGC 007554,
IC0185,30.02517,-1.52833,0.79,2.4,82,0.33,G,15.72,,12.39,11.58,11.4,23.46,Sab,,,MCG +00-06-019,PGC 007576,
IC0186,30.10208,-1.55172,1.1,,,,GTrpl,,,,,,,,,,,Contains the GPair MCG +00-06-021.,
IC0186A,30.1,-1.55286,1.21,1.6,33,0.76,G,14.87,,11.74,10.56,10.52,23.56,S0,,,MCG +00-06-020,PGC 007599,
IC0186B,30.10604,-1.54981,0.69,1.5,0,0.47,G,15.8,,,,,23.74,,,,PGC 007600,,Part of the GTrpl IC 0186. MCG lists both this and MCG +00-06-020 as IC 0186.
IC0186 NED03,30.10583,-1.55083,0.25,1.3,101,0.2,G,,,,,,,,,,,,No data available in LEDA.
IC0187,30.37817,26.48097,2.23,3.1,70,0.73,G,13.79,,11.08,10.36,10.1,23.83,Sa,,,IRAS 01587+2614,MCG +04-05-037,PGC 007683
IC0188,30.44375,26.54689,0.54,1.9,46,0.28,G,14.4,,11.94,11.18,10.78,21.27,SABc,,,IRAS 01589+2618,MCG +04-05-038,PGC 007706
IC0189,30.47046,23.5515,0.78,1.2,86,0.67,G,14.85,,12.38,11.6,11.26,23.18,SBc,,,IRAS 01590+2318,MCG +04-05-039,PGC 007716
IC0190,30.53033,23.54983,0.25,1.3,95,0.2,G,15.03,,11.9,11.21,10.91,,E,,,MCG +04-05-040,PGC 007731,
IC0192,30.63496,16.01417,0.95,1.4,148,0.67,G,14.75,,11.64,11.11,10.74,23.51,S0,,,MCG +03-06-025,PGC 007768,UGC 01530
IC0193,30.62908,11.09308,1.36,1.4,154,0.97,G,14.62,,11.11,10.48,10.61,23.58,Sc,,,MCG +02-06-016,PGC 007765,UGC 01529
IC0194,30.77175,2.61425,1.85,5.6,14,0.33,G,15.18,,11.68,10.86,10.53,24,Sb,,,MCG +00-06-026,PGC 007812,UGC 01542
IC0195,30.93588,14.70928,1.46,2,135,0.72,G,14.11,13.15,11.21,10.49,10.28,23.63,S0,,,MCG +02-06-017,PGC 007846,SDSS J020344.59+144233.4
IC0196,30.9575,14.73914,2.47,3.7,9,0.67,G,14.11,,10.79,10.06,9.77,24.13,Sab,,,MCG +02-06-018,PGC 007856,SDSS J020349.78+144420.9
IC0197,31.02054,2.78683,1.01,1.9,54,0.53,G,14.25,,11.9,11.09,10.85,22.69,Sbc,,,IRAS 02015+0232,MCG +00-06-027,PGC 007875
IC0198,31.513,9.29556,1.01,1.8,51,0.56,G,14.81,,12.15,11.52,11.09,23.21,Sbc,,,MCG +01-06-040,PGC 008011,UGC 01592
IC0199,31.58083,9.22742,1.28,2.3,24,0.56,G,15.33,,11.98,11.18,10.97,24.07,Sab,,1778,MCG +01-06-041,PGC 008026,UGC 01594
IC0200,31.361,31.17533,1.38,1.3,92,1.06,G,13.88,12.82,11.2,10.5,10.1,23.24,Sb,,,IRAS 02025+3056,MCG +05-06-002,PGC 007967
IC0201,31.81371,9.11506,0.54,1.1,60,0.5,G,16.77,,13.13,12.56,12.34,23.89,,,,PGC 212916,,
IC0202,31.86942,9.16831,1.35,3.8,131,0.36,G,15.22,,12.24,11.42,11.04,23.81,Sb,,,MCG +01-06-043,PGC 008101,UGC 01610
IC0203,31.87354,9.12264,0.6,1.2,10,0.51,G,16.9,,13.02,12.16,11.85,24.52,,,,LEDA 212915,,
IC0204,31.86283,-1.43019,0.55,1.5,155,0.36,G,15.82,,12.76,12.11,11.69,23.02,Sab,,,PGC 008100,,
IC0205,31.86429,-2.09128,0.92,1.1,40,0.82,G,14.76,,11.95,11.22,11.03,23.21,Sa,,,MCG +00-06-034,PGC 008098,UGC 01613
IC0206,32.37783,-6.96839,1.22,3.1,130,0.39,G,14.34,,12.43,11.74,11.55,23.42,S0,,,MCG -01-06-053,PGC 008238,
IC0207,32.41396,-6.92219,1.81,4,98,0.45,G,14.53,,11.26,10.52,10.17,24.43,S0-a,,,IRAS 02071-0709,MCG -01-06-054,PGC 008251
